Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,NAIVE.ate,NAIVE.bias,NAIVE.mae,NAIVE.mse,NAIVE.empse,NAIVE.vr,NAIVE.cov,NAIVE.ciwidth,NAIVE.std_bias
421,N_AC100b_X1.11b_EM0.69meanX_AC0.3corX0.35sdBC0.2shapeBCskew,100,1.108662625,0.693147181,0.3,0.35,0.2,skew,-0.0898207,-0.0898207,0.387772792,0.242976399,0.484916266,1.025832546,0.946,1.852969902,-18.52292998,20.43101374,0.055724507,0.055724507,0.485084521,0.39630716,0.627371927,1.146183499,0.938,2.145601263,8.882212457,-0.090742495,-0.090742495,0.360335322,0.206725706,0.445746785,0.921028927,0.951,1.897112281,-20.35740881,20.43102194,0.062749651,0.062749651,0.480021011,0.390354774,0.621935736,1.011214786,0.969,2.410905496,10.08941068,-0.793445617,-0.793445617,0.796691176,0.746638292,0.34234419,1.023258505,0.332,1.311461922,-231.7683899
422,N_AC300b_X1.11b_EM0.69meanX_AC0.3corX0.35sdBC0.2shapeBCskew,300,1.108662625,0.693147181,0.3,0.35,0.2,skew,-0.106779353,-0.106779353,0.232697915,0.08295279,0.267623956,0.909023906,0.956,1.154058352,-39.89902638,65.28339759,-0.023633151,-0.023633151,0.257856104,0.102326666,0.319170817,0.9874889,0.965,1.266977899,-7.404546412,-0.110473328,-0.110473328,0.225610876,0.079018564,0.258613782,0.916355257,0.962,1.106282078,-42.71749459,65.28340303,-0.025725017,-0.025725017,0.266336696,0.108344683,0.328314937,0.908357908,0.976,1.416810369,-7.835469563,-0.778334369,-0.778334369,0.778334369,0.657872218,0.228297935,0.961761366,0.074,0.930492213,-340.9292198
423,N_AC1000b_X1.11b_EM0.69meanX_AC0.3corX0.35sdBC0.2shapeBCskew,1000,1.108662625,0.693147181,0.3,0.35,0.2,skew,-0.118079275,-0.118079275,0.18797593,0.05456984,0.201662572,0.937867117,0.936,0.842872877,-58.55289563,217.0337549,-0.045641651,-0.045641651,0.182776678,0.051062711,0.221423981,0.963972181,0.955,0.90040571,-20.6127857,-0.117753412,-0.117753412,0.183516244,0.051805461,0.194878353,0.935934652,0.941,0.816199191,-60.42405938,217.0337598,-0.045016493,-0.045016493,0.182843122,0.051010686,0.221434492,0.920212023,0.968,0.943268766,-20.32948565,-0.776035812,-0.776035812,0.776035812,0.636113692,0.184163044,0.953479946,0.014,0.757127478,-421.3852004
424,N_AC100b_X0.4b_EM1.11meanX_AC0.3corX0.35sdBC0.2shapeBCskew,100,0.400477567,1.108662625,0.3,0.35,0.2,skew,-0.063451077,-0.063451077,0.384941593,0.245749696,0.491900013,1.009708971,0.949,1.909671671,-12.89918174,20.27566729,-0.073028623,-0.073028623,0.396115922,0.262020467,0.506896667,1.004123739,0.953,1.978838212,-14.40700401,-0.04430382,-0.04430382,0.338899399,0.183331257,0.42608682,0.818265851,0.97,2.041182145,-10.39783867,20.27310731,-0.075637487,-0.075637487,0.394442949,0.257890445,0.502416,0.898331181,0.977,2.192325696,-15.05475281,-0.545150141,-0.545150141,0.557467205,0.407865389,0.332847563,0.969569858,0.666,1.345687945,-163.7837265
425,N_AC300b_X0.4b_EM1.11meanX_AC0.3corX0.35sdBC0.2shapeBCskew,300,0.400477567,1.108662625,0.3,0.35,0.2,skew,-0.033664068,-0.033664068,0.230486606,0.086744735,0.292740777,0.962303917,0.958,1.19247437,-11.4996168,63.83138622,-0.047867782,-0.047867782,0.241058715,0.094067299,0.303097083,0.994484909,0.948,1.194707654,-15.79288787,-0.030587006,-0.030587006,0.217166722,0.076289522,0.274644109,0.908006059,0.964,1.185658524,-11.13696057,63.83143641,-0.049968986,-0.049968986,0.250374573,0.101467589,0.31475349,0.917524676,0.962,1.344716978,-15.87559393,-0.518326038,-0.518326038,0.520218111,0.322862194,0.232926097,0.97952272,0.38,0.932141238,-222.5281089
426,N_AC1000b_X0.4b_EM1.11meanX_AC0.3corX0.35sdBC0.2shapeBCskew,1000,0.400477567,1.108662625,0.3,0.35,0.2,skew,-0.052656941,-0.052656941,0.16810001,0.045163071,0.205992111,0.95566348,0.953,0.84493575,-25.5626009,214.4874429,-0.065345221,-0.065345221,0.175467325,0.048907272,0.211381068,0.97032646,0.943,0.853937921,-30.9134689,-0.05054084,-0.05054084,0.161055147,0.041344977,0.197051847,0.929752714,0.96,0.830789773,-25.64849848,214.4874458,-0.06621923,-0.06621923,0.176084841,0.049065037,0.211482329,0.927653931,0.955,0.893647369,-31.3119448,-0.519121737,-0.519121737,0.519441009,0.304493322,0.187192375,0.989719699,0.207,0.741402466,-277.319916
427,N_AC100b_X0.69b_EM1.11meanX_AC0.3corX0.35sdBC0.2shapeBCskew,100,0.693147181,1.108662625,0.3,0.35,0.2,skew,-0.085320378,-0.085320378,0.379470936,0.240600307,0.483274554,1.018681706,0.94,1.859659822,-17.65463903,20.7216432,-0.012199803,-0.012199803,0.444716346,0.32959432,0.574260621,1.111585712,0.937,2.025089244,-2.124436647,-0.069584334,-0.069584334,0.357832644,0.20875148,0.451789347,0.905589489,0.963,1.955612028,-15.40194214,20.72286082,-0.009580405,-0.009580405,0.440781056,0.322167803,0.567801389,0.989760029,0.97,2.248767865,-1.687280923,-0.678355251,-0.678355251,0.686109708,0.592501187,0.363961273,1.085682875,0.487,1.314105625,-186.3811625
428,N_AC300b_X0.69b_EM1.11meanX_AC0.3corX0.35sdBC0.2shapeBCskew,300,0.693147181,1.108662625,0.3,0.35,0.2,skew,-0.075325045,-0.075325045,0.230819882,0.087360613,0.285951953,0.969995687,0.948,1.155583548,-26.34185352,65.14769937,-0.042463348,-0.042463348,0.247252382,0.096297683,0.307553469,0.993831838,0.945,1.213069856,-13.80681808,-0.070432553,-0.070432553,0.216589615,0.074604901,0.264033843,0.919032679,0.958,1.126177198,-26.6755777,65.14772993,-0.045199949,-0.045199949,0.256420777,0.103340279,0.318431534,0.91321282,0.961,1.36685409,-14.1945579,-0.667417701,-0.667417701,0.668006654,0.501468932,0.236809254,1.007419145,0.172,0.921438929,-281.8376772
429,N_AC1000b_X0.69b_EM1.11meanX_AC0.3corX0.35sdBC0.2shapeBCskew,1000,0.693147181,1.108662625,0.3,0.35,0.2,skew,-0.072345985,-0.072345985,0.17262753,0.046209871,0.20252641,0.9536542,0.949,0.83247045,-35.7217534,216.7910297,-0.048903804,-0.048903804,0.177621826,0.049970412,0.218234865,0.985218401,0.949,0.868299811,-22.40879535,-0.073315887,-0.073315887,0.167231902,0.044188874,0.197110394,0.953401937,0.948,0.810422672,-37.19534297,216.7910212,-0.04860211,-0.04860211,0.178058347,0.050006334,0.218384663,0.94117743,0.957,0.90955448,-22.25527645,-0.669009895,-0.669009895,0.669026304,0.481828851,0.185172623,0.979602173,0.056,0.74097768,-361.2898505
430,N_AC100b_X1.11b_EM1.11meanX_AC0.3corX0.35sdBC0.2shapeBCskew,100,1.108662625,1.108662625,0.3,0.35,0.2,skew,-0.127827594,-0.127827594,0.397780545,0.269112554,0.503016586,1.056770503,0.938,1.865862815,-25.41220265,20.41480436,0.107329096,0.107329096,0.494425087,0.424685402,0.643101428,1.102045432,0.95,2.287483983,16.68929517,-0.125004005,-0.125004005,0.352969617,0.197649621,0.426855743,0.884812353,0.956,1.891071887,-29.28483607,20.41793005,0.118977858,0.118977858,0.492250937,0.419438611,0.636936864,0.972364336,0.977,2.567706913,18.67969406,-0.904262399,-0.904262399,0.904844235,0.926284433,0.32970085,0.976008114,0.234,1.324172992,-274.267536
431,N_AC300b_X1.11b_EM1.11meanX_AC0.3corX0.35sdBC0.2shapeBCskew,300,1.108662625,1.108662625,0.3,0.35,0.2,skew,-0.175108444,-0.175108444,0.269045452,0.111380884,0.284251149,0.948942776,0.928,1.174195173,-61.60342513,64.6915504,-0.023598175,-0.023598175,0.284794366,0.123993661,0.351511519,1.026230124,0.948,1.342681141,-6.713343356,-0.172155724,-0.172155724,0.261230319,0.103333429,0.271605606,0.949430408,0.926,1.121382253,-63.38445181,64.691579,-0.022610458,-0.022610458,0.291182175,0.129933322,0.359932828,0.948575526,0.968,1.487399496,-6.281854993,-0.92086237,-0.92086237,0.92086237,0.907115487,0.243284133,0.998863678,0.028,0.954741172,-378.513123
432,N_AC1000b_X1.11b_EM1.11meanX_AC0.3corX0.35sdBC0.2shapeBCskew,1000,1.108662625,1.108662625,0.3,0.35,0.2,skew,-0.169855537,-0.169855537,0.220180241,0.075227975,0.215461123,0.973420821,0.89,0.867653602,-78.83349665,216.8012307,-0.038722735,-0.038722735,0.196939299,0.060144445,0.242288461,0.999271415,0.951,0.950445795,-15.98207969,-0.170987833,-0.170987833,0.217363244,0.073509292,0.210515486,0.983930849,0.89,0.838682455,-81.22339916,216.8012219,-0.038097284,-0.038097284,0.194752083,0.059103726,0.240229127,0.953442454,0.963,0.987664089,-15.85872806,-0.906105303,-0.906105303,0.906105303,0.860811409,0.199560551,0.99317787,0.003,0.787636343,-454.0503114
433,N_AC100b_X0.4b_EM0.4meanX_AC0.2corX0sdBC0.2shapeBCskew,100,0.400477567,0.400477567,0.2,0,0.2,skew,-1.904975458,-1.904975458,2.947118351,26.48645416,4.78334643,4.346651502,0.677,4.313751274,-39.82516186,3.179018788,-0.315867991,-0.315867991,0.80954136,1.471235483,1.171680729,1.284753688,0.95,3.574929656,-26.95853769,-0.224083549,-0.224083549,0.682019853,0.798512811,0.865475836,0.594185734,0.955,5.709667431,-25.89136974,4.211132622,-0.878075633,-0.878075633,1.354407367,329.5663203,18.14178679,0.20458978,0.985,347.595551,-4.840072497,-0.574213319,-0.574213319,0.592181981,0.4732457,0.379036189,0.991040361,0.697,1.499227093,-151.4930065
434,N_AC300b_X0.4b_EM0.4meanX_AC0.2corX0sdBC0.2shapeBCskew,300,0.400477567,0.400477567,0.2,0,0.2,skew,-0.701186202,-0.701186202,1.298235627,6.134197876,2.376590829,2.912398945,0.778,3.198759868,-29.50386719,7.026018259,-0.214675234,-0.214675234,0.436454835,0.301122932,0.505265048,1.026993006,0.935,1.928545358,-42.48764784,-0.169077802,-0.169077802,0.403026992,0.258186404,0.479404766,0.524255957,0.978,3.584569952,-35.26827712,7.230190136,-0.219430437,-0.219430437,0.443425661,0.311944014,0.513866087,0.931017575,0.956,2.163566081,-42.7018717,-0.537518735,-0.537518735,0.541337155,0.354210066,0.255634553,0.985916954,0.448,1.0163828,-210.2684197
435,N_AC1000b_X0.4b_EM0.4meanX_AC0.2corX0sdBC0.2shapeBCskew,1000,0.400477567,0.400477567,0.2,0,0.2,skew,-0.22802475,-0.22802475,0.456038721,0.323837309,0.521645605,1.09495195,0.858,1.867491259,-43.71257956,22.39891173,-0.200250881,-0.200250881,0.293940557,0.13208202,0.303436448,1.003618609,0.899,1.185160387,-65.99434004,-0.176980321,-0.176980321,0.275453401,0.116804953,0.292520919,0.568935075,0.992,2.015451287,-60.50176573,22.42693865,-0.200092867,-0.200092867,0.292769305,0.131544386,0.302652984,0.933153656,0.92,1.271363927,-66.11296693,-0.525723735,-0.525723735,0.526628498,0.315673447,0.198311191,0.981175671,0.262,0.792279719,-265.1003865
436,N_AC100b_X0.69b_EM0.4meanX_AC0.2corX0sdBC0.2shapeBCskew,100,0.693147181,0.400477567,0.2,0,0.2,skew,-1.279699318,-1.279699318,2.382058247,17.39758321,3.971867142,3.608708713,0.703,4.314405606,-32.21908669,3.162963646,-0.311269527,-0.311269527,0.760229721,0.935451625,0.916189014,1.076225071,0.944,3.33702962,-33.97437885,-0.289761196,-0.289761196,0.651971517,0.691417719,0.779784735,0.565777895,0.967,5.402650084,-37.15912645,4.217938601,-0.314588678,-0.314588678,0.756137013,0.920634802,0.906913037,0.942333266,0.983,3.772586523,-34.68785485,-0.779274787,-0.779274787,0.785562588,0.746301941,0.373057529,1.030529994,0.406,1.419035495,-208.8886371
437,N_AC300b_X0.69b_EM0.4meanX_AC0.2corX0sdBC0.2shapeBCskew,300,0.693147181,0.400477567,0.2,0,0.2,skew,-0.455089656,-0.455089656,1.032628777,3.01299205,1.675915914,2.102655198,0.802,3.124368498,-27.15468316,7.142234639,-0.276204042,-0.276204042,0.436774118,0.299681765,0.472881285,1.011612605,0.906,1.832381848,-58.40874877,-0.248172546,-0.248172546,0.41094887,0.26844038,0.45503607,0.517323308,0.993,3.447957183,-54.53909318,7.351562913,-0.281942929,-0.281942929,0.44571925,0.312251939,0.482693605,0.913170374,0.942,2.072038491,-58.41033033,-0.771863206,-0.771863206,0.771921315,0.658683252,0.250945048,1.015326537,0.112,0.968837586,-307.5825614
438,N_AC1000b_X0.69b_EM0.4meanX_AC0.2corX0sdBC0.2shapeBCskew,1000,0.693147181,0.400477567,0.2,0,0.2,skew,-0.280046309,-0.280046309,0.4540664,0.320945545,0.492709217,1.075319158,0.868,1.796103627,-56.83804963,22.69155781,-0.291857346,-0.291857346,0.336574281,0.167552365,0.287148235,0.99392817,0.836,1.132476603,-101.6399582,-0.261447357,-0.261447357,0.310000784,0.14333023,0.273953574,0.562891632,0.99,1.907788666,-95.43491365,22.6919001,-0.290394996,-0.290394996,0.335788561,0.165938914,0.28581699,0.92072727,0.871,1.216844605,-101.6017266,-0.777969426,-0.777969426,0.777969426,0.643996469,0.19697421,1.020825391,0.019,0.756372953,-394.9600435
