Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,NAIVE.ate,NAIVE.bias,NAIVE.mae,NAIVE.mse,NAIVE.empse,NAIVE.vr,NAIVE.cov,NAIVE.ciwidth,NAIVE.std_bias,shapeBC_f
586,N_AC100b_X0.4b_EM1.11meanX_AC0.3corX0.35sdBC0.4shapeBCskew,100,0.400477567,1.108662625,0.3,0.35,0.4,skew,0.034820336,0.034820336,3.860886919,24.21217946,4.922926184,1.257506798,0.874,15.34585424,0.707309741,20.84620508,-0.096045697,-0.096045697,4.146137578,26.98669675,5.196583151,1.047253637,0.929,19.45109659,-1.8482471,-0.763785003,-0.763785003,0.764142499,0.64378805,0.245928853,9.869514461,0.002,0.097676881,-310.5715303,20.85240784,-0.19016847,-0.19016847,4.095637646,26.18871008,5.116514904,0.951988661,0.948,21.06786635,-3.716757864,9.994279751,9.994279751,10.00656003,114.1769682,3.782280546,0.945132757,0.282,15.68696798,264.2395145,skew
587,N_AC300b_X0.4b_EM1.11meanX_AC0.3corX0.35sdBC0.4shapeBCskew,300,0.400477567,1.108662625,0.3,0.35,0.4,skew,0.155515032,0.155515032,2.431657055,9.550237349,3.087974743,1.093517578,0.927,11.06945037,5.036149729,66.05306292,0.366067034,0.366067034,2.649714827,10.90813738,3.284039772,0.993291776,0.951,12.96013887,11.14685141,-0.773715106,-0.773715106,0.773715106,0.618871191,0.142324921,14.023234,0,0.039784221,-543.6258821,66.05297487,0.342882195,0.342882195,2.753228436,11.77480312,3.415977726,0.927369466,0.962,14.43910666,10.03760042,10.09469167,10.09469167,10.09469167,109.1219078,2.688184172,0.945346165,0.055,11.14669812,375.5208359,skew
588,N_AC1000b_X0.4b_EM1.11meanX_AC0.3corX0.35sdBC0.4shapeBCskew,1000,0.400477567,1.108662625,0.3,0.35,0.4,skew,0.106681339,0.106681339,1.693054865,4.55191036,2.131918039,0.932312663,0.965,8.963693708,5.004007507,219.5755885,0.326575109,0.326575109,1.842026331,5.333713476,2.287420921,0.905854641,0.969,9.898415082,14.27700105,-0.762826692,-0.762826692,0.762826692,0.591814511,0.099598541,21.86355567,0,0.017857073,-765.9014693,219.5756609,0.317014731,0.317014731,1.842451106,5.335668685,2.289194346,0.87339428,0.977,10.2742566,13.84831005,9.964535852,9.964535852,9.964535852,103.4327561,2.03590921,0.887602255,0.006,8.991209082,489.4391068,skew
589,N_AC100b_X0.69b_EM1.11meanX_AC0.3corX0.35sdBC0.4shapeBCskew,100,0.693147181,1.108662625,0.3,0.35,0.4,skew,-0.195964579,-0.195964579,3.376325421,18.70546843,4.32270194,1.144237765,0.904,14.80870564,-4.533381696,20.79325546,-1.41977856,-1.41977856,4.107393978,26.43785615,4.944343386,1.059285954,0.907,18.2967308,-28.71520947,-0.863787253,-0.863787253,0.863787253,0.803885792,0.240447893,9.352453212,0,0.100779806,-359.2409317,20.82026588,-1.528842308,-1.528842308,4.048588287,25.67815975,4.833649255,0.959711443,0.925,19.74297279,-31.62915278,11.52745131,11.52745131,11.53024757,149.7434937,4.108313307,1.021390601,0.19,15.76702608,280.588418,skew
590,N_AC300b_X0.69b_EM1.11meanX_AC0.3corX0.35sdBC0.4shapeBCskew,300,0.693147181,1.108662625,0.3,0.35,0.4,skew,-0.112693269,-0.112693269,2.042845722,6.593193917,2.566530971,0.946815857,0.963,10.62573726,-4.390878969,65.7728117,-1.014866359,-1.014866359,2.498575927,9.847303093,2.970888006,0.94673273,0.951,12.30090248,-34.16037079,-0.860831838,-0.860831838,0.860831838,0.760353823,0.139074481,13.21941369,0,0.041239495,-618.9718131,65.7727673,-1.104187905,-1.104187905,2.606606683,10.7447207,3.087883547,0.885011915,0.962,13.67696963,-35.75872886,11.46712817,11.46712817,11.46712817,138.4265752,2.634100453,0.936755269,0.015,11.02260578,435.3337459,skew
591,N_AC1000b_X0.69b_EM1.11meanX_AC0.3corX0.35sdBC0.4shapeBCskew,1000,0.693147181,1.108662625,0.3,0.35,0.4,skew,0.065251482,0.065251482,1.61291207,4.014179803,2.003480966,0.912073306,0.961,8.61060292,3.256905497,219.9491828,-0.709113161,-0.709113161,1.853442107,5.337442705,2.199872876,0.912048385,0.96,9.454918575,-32.23427903,-0.866753689,-0.866753689,0.866753689,0.761943046,0.10340107,21.98788616,0,0.018434002,-838.2444112,219.9491373,-0.726367324,-0.726367324,1.859434823,5.356508036,2.198575056,0.878684171,0.965,9.80813828,-33.03809538,11.54173339,11.54173339,11.54173339,137.3296341,2.030307034,0.909461527,0,8.750955472,568.4723146,skew
592,N_AC100b_X1.11b_EM1.11meanX_AC0.3corX0.35sdBC0.4shapeBCskew,100,1.108662625,1.108662625,0.3,0.35,0.4,skew,-0.29548825,-0.29548825,2.868434469,13.03243327,3.599733051,1.038290104,0.934,13.59031952,-8.208615634,20.56451903,-3.113577675,-3.113577675,4.275122384,26.54586121,4.107111349,1.051290956,0.813,15.31410554,-75.80942932,-0.987745884,-0.987745884,0.987745884,1.031935099,0.237380535,8.837061991,0,0.105296828,-416.1023079,20.56719158,-3.168582602,-3.168582602,4.245544064,25.99855058,3.996824925,0.953974336,0.846,16.42315229,-79.27749306,13.15326737,13.15326737,13.15398612,188.5511696,3.944399254,0.988718715,0.092,15.63817971,333.4669368,skew
593,N_AC300b_X1.11b_EM1.11meanX_AC0.3corX0.35sdBC0.4shapeBCskew,300,1.108662625,1.108662625,0.3,0.35,0.4,skew,-0.01125198,-0.01125198,1.83921951,5.227220285,2.287427814,0.914879556,0.97,9.800800784,-0.491905339,66.1240782,-2.691797528,-2.691797528,3.114005685,14.21221336,2.64072203,0.971524838,0.816,10.65483839,-101.934149,-0.970973591,-0.970973591,0.970973591,0.962064208,0.138902075,12.70764888,0,0.042847118,-699.0346179,66.12405176,-2.856154887,-2.856154887,3.272666976,15.61500364,2.732187357,0.909295415,0.841,11.77832579,-104.5372997,12.92641144,12.92641144,12.92641144,173.634153,2.559021075,0.940418899,0.002,10.66671278,505.1311052,skew
594,N_AC1000b_X1.11b_EM1.11meanX_AC0.3corX0.35sdBC0.4shapeBCskew,1000,1.108662625,1.108662625,0.3,0.35,0.4,skew,-0.03643718,-0.03643718,1.423246053,3.15215149,1.7759442,0.881975503,0.97,7.893159519,-2.051707467,219.9621275,-2.649608123,-2.649608123,2.790162143,10.85459031,1.959082721,0.912026095,0.795,8.420223055,-135.2473836,-0.967547953,-0.967547953,0.967547953,0.946066471,0.099636122,19.93518779,0,0.019591811,-971.081501,219.962162,-2.669964594,-2.669964594,2.807977575,10.96710965,1.960163502,0.883332682,0.816,8.698534418,-136.2113207,12.84086835,12.84086835,12.84086835,168.4892282,1.898666158,0.905940169,0,8.215370982,676.3099607,skew
595,N_AC100b_X0.4b_EM0.4meanX_AC0.2corX0sdBC0.4shapeBCskew,100,0.400477567,0.400477567,0.2,0,0.4,skew,3.757206036,3.757206036,12.3157942,208.1940684,13.93813987,3.678490071,0.288,14.85297044,26.95629454,3.161904413,2.846541668,2.846541668,6.035033271,55.39512717,6.880382792,1.075412848,0.845,25.07930327,41.37185029,-0.434948131,-0.434948131,0.44153588,0.248295695,0.243259108,9.729284535,0.033,0.098009075,-178.8003475,3.884469258,2.658760815,2.658760815,5.910173263,53.1229038,6.78969769,0.958621095,0.885,27.76396849,39.15875105,7.4579132,7.4579132,7.495084481,67.50648609,3.4493354,0.979206522,0.458,13.80826823,216.2130479,skew
