Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,Bucher.ate,Bucher.bias,Bucher.mae,Bucher.mse,Bucher.empse,Bucher.vr,Bucher.cov,Bucher.ciwidth,Bucher.std_bias
197,N_AC300b_X1.11b_EM0.4meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,300,1.108662625,0.400477567,0.4,0.35,0.4,normal,-0.054364859,-0.054364859,0.148037266,0.034371062,0.177332939,1.009529243,0.939,0.688570787,-30.65694339,249.9607267,-0.146951429,-0.146951429,0.193862939,0.058386438,0.191907646,0.996252243,0.875,0.755094058,-76.57403542,-0.06773873,-0.06773873,0.150088418,0.035347229,0.175469322,0.995478469,0.933,0.690951261,-38.60431524,249.9607267,-0.14708048,-0.14708048,0.192124463,0.057164056,0.188592034,1.000321004,0.874,0.739029959,-77.98870232,-0.116751425,-0.116751425,0.16938302,0.045219794,0.177821594,1.012314844,0.89,0.688568227,-65.6564948
198,N_AC1000b_X1.11b_EM0.4meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,1000,1.108662625,0.400477567,0.4,0.35,0.4,normal,-0.04778139,-0.04778139,0.120440549,0.022696048,0.142945515,1.014379501,0.93,0.552392988,-33.42629512,834.9177029,-0.132131175,-0.132131175,0.164977514,0.040444748,0.151687538,1.006690006,0.865,0.590652753,-87.10746881,-0.061016247,-0.061016247,0.122486711,0.023310822,0.140026592,0.992607261,0.934,0.552982209,-43.57475678,834.9177029,-0.133299814,-0.133299814,0.16592917,0.040847171,0.151991552,1.006857239,0.863,0.591738245,-87.70212068,-0.109868002,-0.109868002,0.147583769,0.032383581,0.142593605,1.012546711,0.878,0.552030492,-77.04973999
199,N_AC100b_X0.4b_EM0.69meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,100,0.400477567,0.693147181,0.4,0.35,0.4,normal,-0.013170948,-0.013170948,0.20756148,0.069023188,0.262523585,1.026038572,0.953,1.002957952,-5.017053402,82.15410019,0.004286401,0.004286401,0.245410076,0.09658795,0.310911954,1.068418384,0.935,1.140707127,1.378654385,-0.000246221,-0.000246221,0.209533608,0.069685726,0.264112516,1.016413659,0.95,1.018583358,-0.093225824,82.15410019,-0.001137454,-0.001137454,0.258653796,0.107861798,0.328585564,1.088983462,0.936,1.182783567,-0.346166723,-0.130420687,-0.130420687,0.228975482,0.082333259,0.25571291,1.003427477,0.922,0.998952301,-51.00277771
200,N_AC300b_X0.4b_EM0.69meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,300,0.400477567,0.693147181,0.4,0.35,0.4,normal,-0.016492661,-0.016492661,0.14253828,0.031695425,0.177355214,0.992821093,0.953,0.700246669,-9.299225129,250.0598468,0.004404797,0.004404797,0.162413504,0.040632144,0.201626872,1.037338803,0.947,0.761913862,2.184627792,-0.012902811,-0.012902811,0.144126007,0.032179252,0.179010653,0.99509169,0.951,0.705170058,-7.207845498,250.0598468,0.002599062,0.002599062,0.159187051,0.038898062,0.19730747,1.038221757,0.947,0.744957484,1.317264994,-0.136767415,-0.136767415,0.179668876,0.049610412,0.17588639,0.987702282,0.876,0.698046357,-77.75895269
201,N_AC1000b_X0.4b_EM0.69meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,1000,0.400477567,0.693147181,0.4,0.35,0.4,normal,-0.005400184,-0.005400184,0.113272199,0.019855923,0.140877989,0.985327573,0.951,0.560454803,-3.833234368,839.9953812,0.022765738,0.022765738,0.121671874,0.023413359,0.151386916,0.994923428,0.945,0.596453745,15.03811446,-0.001740578,-0.001740578,0.112793314,0.019929533,0.141231902,0.985164088,0.95,0.561956012,-1.232425828,839.9953812,0.022448102,0.022448102,0.122010483,0.023535154,0.151836394,0.994933873,0.944,0.598218379,14.78440134,-0.125252272,-0.125252272,0.156973511,0.036070035,0.142836638,0.999725095,0.865,0.560063296,-87.68917695
202,N_AC100b_X0.69b_EM0.69meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,100,0.693147181,0.693147181,0.4,0.35,0.4,normal,-0.00474036,-0.00474036,0.200439024,0.063875743,0.252818491,1.011169733,0.946,0.980083008,-1.875005253,82.57841382,-0.007979501,-0.007979501,0.236851041,0.090596609,0.301037473,1.046675602,0.944,1.127422103,-2.650667183,-0.003494924,-0.003494924,0.197332233,0.061576392,0.24824545,0.978260167,0.951,0.994729536,-1.407850063,82.57841382,-0.013590795,-0.013590795,0.249470736,0.100344471,0.31663863,1.064716744,0.944,1.165756645,-4.292209928,-0.116568124,-0.116568124,0.2202874,0.076605219,0.251157663,1.000435395,0.929,0.984091479,-46.41233041
203,N_AC300b_X0.69b_EM0.69meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,300,0.693147181,0.693147181,0.4,0.35,0.4,normal,-0.013545248,-0.013545248,0.141218778,0.030329761,0.173713739,0.991709588,0.96,0.686637856,-7.797453578,250.3047754,0.003654291,0.003654291,0.154703545,0.037546449,0.193831539,1.010322829,0.951,0.752042466,1.885292434,-0.014662718,-0.014662718,0.139842467,0.030347875,0.173675107,0.98539665,0.952,0.690883117,-8.442613387,250.3047754,0.001790143,0.001790143,0.151431289,0.035969959,0.189743926,1.011645556,0.952,0.735220471,0.94345215,-0.127391734,-0.127391734,0.178606545,0.047874636,0.177982191,1.012538038,0.886,0.689038181,-71.57555091
204,N_AC1000b_X0.69b_EM0.69meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,1000,0.693147181,0.693147181,0.4,0.35,0.4,normal,-0.010062966,-0.010062966,0.110101056,0.018866994,0.137056613,0.973091218,0.959,0.552108621,-7.342196773,838.3021877,0.01165698,0.01165698,0.118714777,0.021544579,0.146390314,0.972931842,0.961,0.589804404,7.962944882,-0.011023442,-0.011023442,0.109250687,0.018545152,0.13580161,0.962024408,0.962,0.553346179,-8.117312845,838.3021877,0.011369355,0.011369355,0.119071815,0.021694976,0.146926177,0.974254758,0.96,0.591159577,7.738141436,-0.12247752,-0.12247752,0.150764119,0.034688318,0.14038263,0.994632492,0.862,0.553259421,-87.24549456
205,N_AC100b_X1.11b_EM0.69meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,100,1.108662625,0.693147181,0.4,0.35,0.4,normal,-0.02521922,-0.02521922,0.195943553,0.060497605,0.24478872,0.998500532,0.947,0.960995131,-10.30244366,82.38888452,-0.041272816,-0.041272816,0.249915063,0.096098181,0.307390997,1.0807173,0.936,1.114954453,-13.42681357,-0.026960289,-0.026960289,0.195456015,0.059560202,0.242677228,0.977772845,0.955,0.972902101,-11.10952582,82.38888452,-0.048627882,-0.048627882,0.262632026,0.106409236,0.322720798,1.096861306,0.934,1.153329301,-15.06809657,-0.125644141,-0.125644141,0.21973779,0.077063594,0.247666071,0.999877524,0.921,0.970952076,-50.73126902
206,N_AC300b_X1.11b_EM0.69meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,300,1.108662625,0.693147181,0.4,0.35,0.4,normal,-0.020935785,-0.020935785,0.142958793,0.031004798,0.174920234,1.017429283,0.953,0.673928624,-11.96876124,249.9501943,-0.022092713,-0.022092713,0.161903061,0.041012342,0.201407098,1.063794328,0.929,0.742155974,-10.96918311,-0.021458498,-0.021458498,0.141373783,0.030842965,0.174392979,1.009475464,0.95,0.677191214,-12.30467994,249.9501943,-0.022844304,-0.022844304,0.158756226,0.039316801,0.197062865,1.063989049,0.93,0.726015214,-11.59239418,-0.121353345,-0.121353345,0.172114667,0.045819026,0.17641858,1.018604763,0.893,0.678917034,-68.78716828
